ACT	31.6166	-97.2333	101767	196964	6556	1998
ACT	31.6166	-97.2333	126155	235848	7717	1999
ACT	31.6166	-97.2333	128118	244784	7552	2000
ACT	31.6166	-97.2333	118302	223455	6571	2001
ACT	31.6166	-97.2333	103634	162999	4873	2002
ACT	31.6166	-97.2333	114505	190460	5500	2003
ACT	31.6166	-97.2333	133252	247112	7108	2004
ACT	31.6166	-97.2333	150663	263761	7453	2005
ACT	31.6166	-97.2333	149769	260973	7388	2006
ACT	31.6166	-97.2333	158069	255557	7183	2007
ACT	31.6166	-97.2333	135797	238432	6433	2008
ACT	31.6166	-97.2333	135624	260172	5558	2009
ACV	40.9833	-124.1	19268	44819	1240	1994
ACV	40.9833	-124.1	112421	254745	7110	1990
ACV	40.9833	-124.1	119233	267495	8429	1991
ACV	40.9833	-124.1	131354	261416	10279	1992
ACV	40.9833	-124.1	65591	125743	4931	1993
ACV	40.9833	-124.1	41725	87286	2718	1995
ACV	40.9833	-124.1	39371	85593	2759	1996
ACV	40.9833	-124.1	40865	70932	2122	1997
ACV	40.9833	-124.1	44316	82991	2243	1998
ACV	40.9833	-124.1	46615	78292	2116	1999
ACV	40.9833	-124.1	44639	77700	2100	2000
ACV	40.9833	-124.1	46721	70099	1891	2001
ACV	40.9833	-124.1	84088	132619	3773	2002
ACV	40.9833	-124.1	212448	341341	9451	2003
ACV	40.9833	-124.1	223642	341158	9476	2004
ACV	40.9833	-124.1	245143	386888	9871	2005
ACV	40.9833	-124.1	226165	364647	9303	2006
ACV	40.9833	-124.1	231294	381024	9818	2007
ACV	40.9833	-124.1	234948	389044	9505	2008
ACV	40.9833	-124.1	221655	370920	8851	2009
ACY	39.4666	-74.5833	317316	432422	3570	1992
ACY	39.4666	-74.5833	331203	484300	4242	1993
ACY	39.4666	-74.5833	158148	225022	1967	1990
ACY	39.4666	-74.5833	287592	406639	3598	1994
ACY	39.4666	-74.5833	297172	424394	3293	1991
ACY	39.4666	-74.5833	297238	458856	8402	1995
ACY	39.4666	-74.5833	323813	529140	12959	1996
ACY	39.4666	-74.5833	438926	656319	9607	1997
ACY	39.4666	-74.5833	552865	722318	5898	1998
